----------------------------------------------------------------------------------------------------,
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,4235
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,72738
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,52119
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,212119
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,46725

----------------------------------------------------------------------------------------------------,
gpgpu_simulation_rate\s+=\s+(.*)\s+\(cycle\/sec\),
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,348
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,1784
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,642
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,269
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,2127
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,2223
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,469
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,1254
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,712
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,3637

----------------------------------------------------------------------------------------------------,
gpgpu_silicon_slowdown\s*=\s*(.*)x,
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,379310
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,73991
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,205607
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,490706
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,62059
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,59379
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,281449
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,105263
